"Fecha","NFLX.Open","NFLX.High","NFLX.Low","NFLX.Close","NFLX.Volume","NFLX.Adjusted","Año","Año2g","Mes_num","Mes_txt","Mes_txt2","Dia_num","Dia_año","Dia_txt","Dia_txt2","Semana_D","Semana_L","Trimestre","TrimestreQ"
2024-07-30,63.0169982910156,63.4690017700195,61.7000007629395,62.257999420166,34966000,62.257999420166,"2024","24","07","julio","jul.","30","212","martes","mar.","30","31",3,2024 Q3
2024-07-31,62.6570014953613,63.3600006103516,62.257999420166,62.8349990844727,31349000,62.8349990844727,"2024","24","07","julio","jul.","31","213","miércoles","mié.","30","31",3,2024 Q3
2024-08-01,62.9249992370605,64.6709976196289,61.7610015869141,62.4850006103516,37206000,62.4850006103516,"2024","24","08","agosto","ago.","01","214","jueves","jue.","30","31",3,2024 Q3
2024-08-02,62.0979995727539,62.5270004272461,60.8349990844727,61.3639984130859,35230000,61.3639984130859,"2024","24","08","agosto","ago.","02","215","viernes","vie.","30","31",3,2024 Q3
2024-08-05,58.7039985656738,60.4560012817383,58.7039985656738,59.8549995422363,40442000,59.8549995422363,"2024","24","08","agosto","ago.","05","218","lunes","lun.","31","32",3,2024 Q3
2024-08-06,60.0620002746582,62.2449989318848,60.0620002746582,60.9570007324219,43191000,60.9570007324219,"2024","24","08","agosto","ago.","06","219","martes","mar.","31","32",3,2024 Q3
2024-08-07,61.6069984436035,63.2000007629395,61.0639991760254,61.1479988098145,31878000,61.1479988098145,"2024","24","08","agosto","ago.","07","220","miércoles","mié.","31","32",3,2024 Q3
2024-08-08,62.1990013122559,63.2290000915527,61.6020011901855,63.0349998474121,32835000,63.0349998474121,"2024","24","08","agosto","ago.","08","221","jueves","jue.","31","32",3,2024 Q3
2024-08-09,62.298999786377,63.6619987487793,62.298999786377,63.3940010070801,19808000,63.3940010070801,"2024","24","08","agosto","ago.","09","222","viernes","vie.","31","32",3,2024 Q3
2024-08-12,63.0999984741211,63.9000015258789,62.7070007324219,63.3139991760254,23317000,63.3139991760254,"2024","24","08","agosto","ago.","12","225","lunes","lun.","32","33",3,2024 Q3
2024-08-13,63.8559989929199,65.0970001220703,63.5499992370605,64.802001953125,26396000,64.802001953125,"2024","24","08","agosto","ago.","13","226","martes","mar.","32","33",3,2024 Q3
2024-08-14,64.870002746582,66.3570022583008,64.870002746582,66.1679992675781,40143000,66.1679992675781,"2024","24","08","agosto","ago.","14","227","miércoles","mié.","32","33",3,2024 Q3
2024-08-15,66.8489990234375,67.3190002441406,65.9800033569336,66.3219985961914,32102000,66.3219985961914,"2024","24","08","agosto","ago.","15","228","jueves","jue.","32","33",3,2024 Q3
2024-08-16,66.943000793457,68.0230026245117,66.536003112793,67.4069976806641,35110000,67.4069976806641,"2024","24","08","agosto","ago.","16","229","viernes","vie.","32","33",3,2024 Q3
2024-08-19,67.4069976806641,68.8840026855469,67.2910003662109,68.8529968261719,30162000,68.8529968261719,"2024","24","08","agosto","ago.","19","232","lunes","lun.","33","34",3,2024 Q3
2024-08-20,68.8860015869141,71.1330032348633,68.8249969482422,69.8539962768555,48131000,69.8539962768555,"2024","24","08","agosto","ago.","20","233","martes","mar.","33","34",3,2024 Q3
2024-08-21,69.6999969482422,70.0999984741211,69.1380004882812,69.7119979858398,22353000,69.7119979858398,"2024","24","08","agosto","ago.","21","234","miércoles","mié.","33","34",3,2024 Q3
2024-08-22,69.0999984741211,70.1500015258789,68.6240005493164,68.8960037231445,27294000,68.8960037231445,"2024","24","08","agosto","ago.","22","235","jueves","jue.","33","34",3,2024 Q3
2024-08-23,69.4130020141602,69.6070022583008,67.8629989624023,68.6729965209961,23545000,68.6729965209961,"2024","24","08","agosto","ago.","23","236","viernes","vie.","33","34",3,2024 Q3
2024-08-26,68.7259979248047,69.0589981079102,68.1640014648438,68.8440017700195,13542000,68.8440017700195,"2024","24","08","agosto","ago.","26","239","lunes","lun.","34","35",3,2024 Q3
2024-08-27,68.8529968261719,70.7890014648438,68.6920013427734,69.5719985961914,31649000,69.5719985961914,"2024","24","08","agosto","ago.","27","240","martes","mar.","34","35",3,2024 Q3
2024-08-28,69.5830001831055,69.6669998168945,67.7099990844727,68.3840026855469,24306000,68.3840026855469,"2024","24","08","agosto","ago.","28","241","miércoles","mié.","34","35",3,2024 Q3
2024-08-29,69,69.9800033569336,68.6070022583008,69.2480010986328,21870000,69.2480010986328,"2024","24","08","agosto","ago.","29","242","jueves","jue.","34","35",3,2024 Q3
2024-08-30,70.036003112793,70.1859970092773,68.8160018920898,70.1350021362305,32667000,70.1350021362305,"2024","24","08","agosto","ago.","30","243","viernes","vie.","34","35",3,2024 Q3
2024-09-03,70.0100021362305,70.3860015869141,67.1009979248047,67.5319976806641,31610000,67.5319976806641,"2024","24","09","septiembre","sep.","03","247","martes","mar.","35","36",3,2024 Q3
2024-09-04,67.3310012817383,68.4649963378906,67.3059997558594,67.9680023193359,17853000,67.9680023193359,"2024","24","09","septiembre","sep.","04","248","miércoles","mié.","35","36",3,2024 Q3
2024-09-05,67.3140029907227,68.7310028076172,67.1859970092773,68.3619995117188,18101000,68.3619995117188,"2024","24","09","septiembre","sep.","05","249","jueves","jue.","35","36",3,2024 Q3
2024-09-06,68.1859970092773,68.3150024414062,66.234001159668,66.5770034790039,29913000,66.5770034790039,"2024","24","09","septiembre","sep.","06","250","viernes","vie.","35","36",3,2024 Q3
2024-09-09,67.4000015258789,68.3499984741211,67.213996887207,67.5419998168945,26831000,67.5419998168945,"2024","24","09","septiembre","sep.","09","253","lunes","lun.","36","37",3,2024 Q3
2024-09-10,67.6869964599609,68.0589981079102,66.5810012817383,67.3619995117188,20792000,67.3619995117188,"2024","24","09","septiembre","sep.","10","254","martes","mar.","36","37",3,2024 Q3
2024-09-11,67.7460021972656,68.2969970703125,66.0800018310547,68.1470031738281,23919000,68.1470031738281,"2024","24","09","septiembre","sep.","11","255","miércoles","mié.","36","37",3,2024 Q3
2024-09-12,68.4919967651367,69.4879989624023,68.2200012207031,68.6800003051758,25821000,68.6800003051758,"2024","24","09","septiembre","sep.","12","256","jueves","jue.","36","37",3,2024 Q3
2024-09-13,68.0009994506836,69.963996887207,68,69.7060012817383,22765000,69.7060012817383,"2024","24","09","septiembre","sep.","13","257","viernes","vie.","36","37",3,2024 Q3
